clause_id,clause_type,category,standard_text,plain_english_summary,risk_level,is_required,version,tags,metadata,active
LC-474-b,termination_for_cause,contract_lifecycle,[PARTY A] may immediately terminate if [PARTY B] materially breaches any provision or representation of the Agreement.,Material breach allows immediate termination.,high,TRUE,1,"['material_breach', 'termination']",{},TRUE
LC-474-c,termination_for_cause,contract_lifecycle,[PARTY A] may immediately terminate if [PARTY B] makes any statement that defames or disparages [PARTY A] or its products privately or publicly.,Defamation or disparagement triggers immediate termination.,high,TRUE,1,"['disparagement', 'termination']",{},TRUE
LC-475-a,termination_for_cause,contract_lifecycle,"If [PARTY A] terminates under the morals or breach provisions, [PARTY A] shall only pay [PARTY B] for Services actually rendered up to termination, and [PARTY B] must promptly refund any unearned compensation.",Termination for cause results in pro rata pay and refunds of unearned amounts.,high,TRUE,1,"['termination', 'refund', 'pro_rata']",{},TRUE
EXC-001,exclusivity,legal,"During the Term of this Agreement and for a period of [EXCLUSIVITY_MONTHS] months following the completion of the final Deliverable (the ""Exclusivity Period""), [CREATOR_NAME] agrees not to create, post, publish, or otherwise promote any content on behalf of any brand, company, product, or service that competes with [BRAND_NAME] in the [CATEGORY] category (a ""Competing Brand""). For purposes of this Agreement, a Competing Brand shall be defined as any entity that manufactures, distributes, markets, or sells [PRODUCT_TYPE] or services that are substantially similar to or directly competitive with [BRAND_NAME]'s offerings, as reasonably determined by [BRAND_NAME]. This exclusivity restriction applies to all platforms, channels, and media, including but not limited to social media posts, stories, videos, blog content, podcast appearances, speaking engagements, and any other form of content creation or endorsement. Notwithstanding the foregoing, this exclusivity clause shall not prohibit [CREATOR_NAME] from: (i) using or personally consuming competing products for their own non-commercial purposes; (ii) creating content about competing products that is purely educational, journalistic, or review-based in nature and is not sponsored or compensated by the competing brand; or (iii) fulfilling contractual obligations to Competing Brands that were entered into prior to the Effective Date of this Agreement, provided that [CREATOR_NAME] disclosed such pre-existing relationships to [BRAND_NAME] in writing prior to execution of this Agreement. In consideration for this exclusivity commitment, [BRAND_NAME] agrees to pay [CREATOR_NAME] the Exclusivity Fee as specified in Section [X], which shall be in addition to the base compensation for Deliverables.",,high,FALSE,1,"['exclusivity', 'category', 'competing-brands', 'restrictions', 'non-compete']","{'word_count': 316, 'explanation': 'Category-based exclusivity preventing work with competing brands in same product category', 'placeholders': ['EXCLUSIVITY_MONTHS', 'CREATOR_NAME', 'BRAND_NAME', 'CATEGORY', 'PRODUCT_TYPE', 'X'], 'typical_categories': 'fashion, beauty, technology, food & beverage, fitness', 'applies_to_category': True, 'exclusivity_period_months': 6, 'fair_compensation_multiplier': '1.5-3x base rate for exclusivity', 'pre_existing_contracts_exception': True, 'requires_additional_compensation': True}",TRUE
PAY-002,payment_terms,financial,"All invoices submitted by Contractor shall be paid by [PARTY_NAME] within [NET_DAYS] days of the invoice date (the ""Payment Period""). Invoices must include detailed descriptions of services rendered, applicable dates, and any supporting documentation as reasonably requested by Client. Payment shall be made via wire transfer, ACH, or other mutually agreed payment method to the account designated by Contractor in writing. In the event payment is not received within the Payment Period, the outstanding amount shall accrue interest at a rate of [PERCENTAGE]% per month (or [PERCENTAGE]% per annum) or the maximum rate permitted by applicable law, whichever is less. Late payments exceeding [NET_DAYS] days shall entitle Contractor to suspend performance of Services until all outstanding amounts are paid in full, without waiving Contractor's right to terminate this Agreement for material breach. [PARTY_NAME] shall be responsible for all reasonable costs of collection, including but not limited to attorney fees, court costs, and collection agency fees incurred in collecting any overdue amounts. For avoidance of doubt, disputes regarding specific invoice line items shall not excuse payment of undisputed amounts. Contractor shall provide all required tax documentation, including Form W-9 or W-8BEN as applicable, prior to processing of first payment.",,medium,TRUE,1,"['payment', 'net_terms', 'invoice', 'late_fees', 'interest']","{'currency': 'USD', 'word_count': 213, 'explanation': 'Standard net payment terms with late fee provisions and collection rights for invoice-based billing', 'placeholders': ['PARTY_NAME', 'NET_DAYS', 'PERCENTAGE'], 'expected_amount': None, 'standard_net_days': 30, 'late_fee_applicable': True, 'trigger_if_exceeds_days': 30}",TRUE
LC-100-b,intellectual_property,information_protection,"Influencer hereby grants to Dior a worldwide, exclusive, sublicensable license to use, reproduce, distribute and display the Social Media Content during the usage term in the forms of media specified in the agreement's usage section.",Gives Dior an exclusive worldwide sublicensable license to the Social Media Content during the agreed usage term.,high,TRUE,1,"['exclusive_license', 'social_media', 'usage_term']",{},TRUE
LC-100-c,intellectual_property,information_protection,"Any Social Media Content posted or displayed by Dior or its retail partners during the usage term does not need to be removed at the end of the usage period, and Dior may use the Social Media Content during and following the usage term for internal and archival purposes.",Allows Dior and its retail partners to keep using the Social Media Content for internal and archival purposes even after the usage term ends.,medium,TRUE,1,"['archival_use', 'usage_survival', 'social_media']",{},TRUE
LC-101-a,intellectual_property,information_protection,"Influencer shall not use the name or trademarks of Dior or any of its affiliates except as incorporated into the Social Media Content and approved by Dior in each instance, such approval applying only to the specific purpose and instance of use, and Influencer agrees that it has no right, title or interest in Dior IP and shall not acquire any rights in Dior IP through use.",Restricts Influencer's use of Dior brands and confirms that all goodwill and rights in Dior IP remain with Dior.,medium,TRUE,1,"['dior_ip', 'trademark_use', 'brand_protection']",{},TRUE
LC-476-a,termination_for_cause,contract_lifecycle,[PARTY A]'s decision to terminate under the morals clause must be exercised within forty-five (45) days after the facts giving rise to such right are brought to [PARTY A]'s attention.,Brand must act within 45 days to terminate for morals clause triggers.,medium,TRUE,1,"['morals', 'time_limit']",{},TRUE
LC-805-a,definition,general,"""Content"" or ""Deliverables"" means all photographs, videos, posts, stories, and other materials created by Influencer pursuant to this Agreement.",Defines what constitutes deliverable content.,low,TRUE,1,"['definition', 'content', 'deliverables']",{},TRUE
LC-806-a,definition,general,"""Products"" means the Company's products, including but not limited to [PRODUCT CATEGORY], that are the subject of this Agreement.",Defines the products being promoted.,low,TRUE,1,"['definition', 'products', 'brand']",{},TRUE
LC-807-a,definition,general,"""Social Platforms"" means Instagram, TikTok, YouTube, and any other social media platforms specified in the Statement of Work.",Defines which social media platforms are covered.,low,TRUE,1,"['definition', 'platforms', 'social_media']",{},TRUE
